City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Svetlaya,RU,46.5389,138.3297,51.22,82,100,7.2,overcast clouds
123,Nishihara,JP,26.1842,127.7558,75.25,97,100,8.05,shower rain
124,Yellowknife,CA,62.456,-114.3525,73.92,27,40,5.75,scattered clouds
125,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,75,100,13.8,overcast clouds
126,Faya,SA,18.3851,42.4509,66.31,15,67,4.76,broken clouds
127,Save,BJ,8.0425,2.486,76.96,77,86,4.34,overcast clouds
128,College,US,64.8569,-147.8028,75.58,29,20,12.66,few clouds
129,Tasiilaq,GL,65.6145,-37.6368,41.16,62,96,2.39,overcast clouds
130,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,21.85,scattered clouds
131,Vostok,RU,46.4856,135.8833,53.02,95,100,3.38,moderate rain
132,Vilhena,BR,-12.7406,-60.1458,73.11,66,98,1.19,overcast clouds
133,Berlevag,NO,70.8578,29.0864,40.95,87,100,6.91,overcast clouds
134,Toma,BF,12.7667,-2.8833,82.92,56,86,7.47,light rain
135,Sao Filipe,CV,14.8961,-24.4956,73.87,79,0,4.9,clear sky
136,Luis Correia,BR,-2.8792,-41.6669,75.49,89,53,4.76,broken clouds
137,Playas,EC,-2.6333,-80.3833,70.38,89,100,8.86,overcast clouds
138,Kuytun,RU,54.3419,101.5036,51.89,56,15,7.36,few clouds
139,Thompson,CA,55.7435,-97.8558,68.16,34,40,8.05,scattered clouds
140,Faanui,PF,-16.4833,-151.75,80.53,72,91,12.37,light rain
141,Juegang,CN,32.3174,121.1855,73.98,62,1,9.42,clear sky
142,Cherskiy,RU,68.75,161.3,51.76,46,100,9.22,overcast clouds
143,Kapaa,US,22.0752,-159.319,82.47,76,0,11.5,clear sky
144,Atuona,PF,-9.8,-139.0333,77.94,74,6,13.89,clear sky
145,Sault Sainte Marie,CA,46.5168,-84.3333,57.76,78,0,13.8,clear sky
146,Merauke,ID,-8.4667,140.3333,83.46,73,44,10.8,scattered clouds
147,Koumac,NC,-20.5667,164.2833,81.28,61,82,5.08,broken clouds
148,Khor,RU,47.8861,134.9464,66.24,78,81,6.78,moderate rain
149,Kushima,JP,31.4583,131.2333,77.25,59,47,4.32,scattered clouds
150,Olinda,BR,-8.0089,-34.8553,74.93,94,20,2.3,few clouds
151,Hithadhoo,MV,-0.6,73.0833,82.44,68,100,5.37,overcast clouds
152,Ginda,IN,30.6945,78.4932,69.75,33,0,5.3,clear sky
153,Fort Nelson,CA,58.8053,-122.7002,63.99,55,75,6.91,broken clouds
154,Henties Bay,NA,-22.116,14.2845,71.55,33,0,17.92,clear sky
155,Fortuna,US,40.5982,-124.1573,68.94,72,20,11.5,few clouds
156,Acapulco,MX,16.8634,-99.8901,81.21,77,100,6.93,overcast clouds
157,North Platte,US,41.1239,-100.7654,71.49,75,75,20.0,broken clouds
158,Tuatapere,NZ,-46.1333,167.6833,54.18,66,66,1.9,broken clouds
159,Carballo,ES,43.213,-8.691,65.55,91,100,5.12,overcast clouds
160,Korla,CN,41.7597,86.1469,75.85,27,0,11.63,clear sky
161,Progreso,MX,21.2833,-89.6667,75.31,80,100,14.36,overcast clouds
162,Charleville-Mezieres,FR,49.7667,4.7167,51.26,95,100,4.05,overcast clouds
163,Alofi,NU,-19.0595,-169.9187,78.69,65,40,8.05,scattered clouds
164,Fulton,US,33.7668,-84.4499,80.1,81,75,3.44,broken clouds
165,Klaksvik,FO,62.2266,-6.589,47.32,74,100,17.25,overcast clouds
166,Lompoc,US,34.6391,-120.4579,73.54,71,0,31.0,mist
167,Kalangala,UG,-0.3089,32.225,74.55,72,98,16.75,moderate rain
168,Northam,GB,51.0333,-4.2167,58.6,95,73,15.7,broken clouds
169,Nova Olimpia,BR,-14.7972,-57.2881,74.03,71,73,3.58,light rain
170,Talnakh,RU,69.4865,88.3972,34.21,99,100,4.05,snow
171,Sioux Lookout,CA,50.1001,-91.917,66.27,42,75,4.61,broken clouds
172,Laukaa,RU,58.7372,29.8453,49.62,64,100,5.17,overcast clouds
173,Necochea,AR,-38.5473,-58.7368,52.05,66,77,10.51,broken clouds
174,Komsomolskiy,UZ,40.4272,71.7189,72.32,43,34,6.91,scattered clouds
175,Vao,NC,-22.6667,167.4833,75.76,70,73,15.46,broken clouds
176,Mattru,SL,7.6244,-11.8332,72.88,94,100,2.64,overcast clouds
177,Chilca,PE,-12.5211,-76.7372,63.57,87,10,4.09,clear sky
178,San Cristobal,VE,7.7669,-72.225,71.78,98,45,2.37,scattered clouds
179,Kundiawa,PG,-6.0167,144.9667,72.93,75,81,1.81,broken clouds
180,Nevers,FR,46.9167,3.3333,51.51,88,100,2.93,overcast clouds
181,Sechura,PE,-5.5569,-80.8222,66.85,74,87,14.88,overcast clouds
182,Broome,US,42.2506,-75.833,67.19,93,100,10.36,overcast clouds
183,Airai,TL,-8.9266,125.4092,70.2,59,100,4.76,overcast clouds
184,Torbay,CA,47.6666,-52.7314,38.53,72,20,17.27,few clouds
185,Anloga,GH,5.7947,0.8973,80.76,76,22,12.03,few clouds
186,Xinzhi,CN,36.4989,111.7047,84.61,25,6,2.84,clear sky
187,Ceyhan,TR,37.0247,35.8175,73.24,90,100,1.07,overcast clouds
188,Sol-Iletsk,RU,51.1631,54.9918,51.69,89,0,12.71,clear sky
189,Ancud,CL,-41.8697,-73.8203,50.23,89,100,10.51,light rain
190,Aklavik,CA,68.2191,-135.0107,41.7,72,100,12.75,overcast clouds
191,Biak,ID,-0.9131,122.8766,81.45,71,44,3.38,scattered clouds
192,Dikson,RU,73.5069,80.5464,27.84,90,9,4.09,clear sky
193,Tabas,IR,33.5959,56.9244,83.61,20,40,3.56,scattered clouds
