City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Antofagasta,CL,2022-06-05 19:03:50,-23.65,-70.4,61.88,79,27,5.79
93,Bailen,ES,2022-06-05 19:03:51,38.0964,-3.7779,85.15,19,0,4.79
94,Damietta,EG,2022-06-05 19:03:51,31.4165,31.8133,74.52,74,0,7.07
95,Ponta Do Sol,PT,2022-06-05 19:03:51,32.6667,-17.1,72.01,75,11,0.98
96,Saint-Pierre,RE,2022-06-05 19:01:36,-21.3393,55.4781,71.91,78,0,4.61
97,Hobart,AU,2022-06-05 19:00:08,-42.8794,147.3294,50.25,70,100,12.66
98,Grindavik,IS,2022-06-05 19:03:52,63.8424,-22.4338,46.87,100,75,8.05
99,Pilar,BR,2022-06-05 19:03:52,-9.5972,-35.9567,76.93,88,9,8.23
100,Rikitea,PF,2022-06-05 19:03:53,-23.1203,-134.9692,73.99,77,9,17.22
101,Port Alfred,ZA,2022-06-05 19:03:53,-33.5906,26.891,61.65,76,6,13.09
102,Yellowknife,CA,2022-06-05 19:01:26,62.456,-114.3525,69.57,32,100,20.0
103,Tual,ID,2022-06-05 19:03:53,-5.6667,132.75,81.59,76,67,10.22
104,Hithadhoo,MV,2022-06-05 19:02:50,-0.6,73.0833,83.64,68,12,4.72
105,Udachnyy,RU,2022-06-05 19:03:54,66.4167,112.4,49.3,53,100,7.94
106,Nome,US,2022-06-05 19:03:54,64.5011,-165.4064,62.67,35,0,9.22
107,Provideniya,RU,2022-06-05 19:03:55,64.3833,-173.3,41.88,75,100,0.65
108,Filingue,NE,2022-06-05 19:03:55,14.3521,3.3168,99.05,17,14,3.65
109,Palmer,US,2022-06-05 19:03:55,42.1584,-72.3287,77.65,32,50,5.01
110,Dragor,DK,2022-06-05 19:03:56,55.5946,12.6664,64.22,55,100,6.91
111,San Jose,US,2022-06-05 18:58:57,37.3394,-121.895,75.69,67,100,5.01
112,Micheweni,TZ,2022-06-05 19:03:56,-4.9667,39.8333,74.84,89,100,16.44
113,Morant Bay,JM,2022-06-05 19:03:57,17.8815,-76.4093,87.71,78,90,9.82
114,Loandjili,CG,2022-06-05 19:03:57,-4.7561,11.8578,74.55,85,47,6.11
115,Hasaki,JP,2022-06-05 19:03:57,35.7333,140.8333,63.0,85,100,5.39
116,Guantanamo,CU,2022-06-05 19:03:58,20.1444,-75.2092,87.37,65,96,16.46
117,Kodiak,US,2022-06-05 19:03:58,57.79,-152.4072,60.31,63,0,6.91
118,Pangkalanbuun,ID,2022-06-05 19:03:47,-2.6833,111.6167,73.02,99,98,1.48
119,Thompson,CA,2022-06-05 19:00:43,55.7435,-97.8558,59.79,41,23,5.64
120,Vaitape,PF,2022-06-05 19:03:59,-16.5167,-151.75,79.84,75,36,12.01
121,Dukat,RU,2022-06-05 19:03:59,62.55,155.55,51.22,59,100,2.91
122,Mae Ramat,TH,2022-06-05 19:03:59,16.984,98.5166,74.37,96,100,1.99
123,Neiafu,TO,2022-06-05 19:04:00,-18.65,-173.9833,77.68,88,75,2.3
124,Prince Rupert,CA,2022-06-05 19:04:00,54.3161,-130.3201,58.91,78,100,2.8
125,Lwowek Slaski,PL,2022-06-05 19:04:00,51.1107,15.5858,69.67,75,12,9.46
126,Nizwa,OM,2022-06-05 19:04:01,22.9333,57.5333,88.66,19,0,4.83
127,Lagoa,PT,2022-06-05 19:04:01,39.05,-27.9833,64.13,85,100,15.08
128,Butaritari,KI,2022-06-05 19:04:01,3.0707,172.7902,81.7,71,54,13.15
129,Mataram,ID,2022-06-05 19:04:02,-8.5833,116.1167,74.21,87,88,3.27
130,Rosarito,MX,2022-06-05 19:04:02,32.3333,-117.0333,81.63,67,9,9.62
131,Ancud,CL,2022-06-05 19:04:02,-41.8697,-73.8203,48.42,74,100,16.91
132,Kavieng,PG,2022-06-05 19:04:03,-2.5744,150.7967,80.64,73,99,4.92
133,Ciudad Dario,NI,2022-06-05 19:04:03,12.7314,-86.124,74.08,91,100,2.77
134,Torbay,CA,2022-06-05 19:03:21,47.6666,-52.7314,50.88,76,100,11.21
135,Muisne,EC,2022-06-05 19:04:04,0.6,-80.0333,78.15,75,68,11.95
136,Olinda,BR,2022-06-05 19:02:57,-8.0089,-34.8553,82.13,65,20,14.97
137,Constantine,DZ,2022-06-05 19:04:04,36.365,6.6147,83.61,39,0,4.61
138,Kapuskasing,CA,2022-06-05 19:02:02,49.4169,-82.4331,68.67,29,41,6.13
139,Hovd,MN,2022-06-05 19:05:05,48.0056,91.6419,56.8,32,1,18.99
140,Takestan,IR,2022-06-05 19:05:05,36.0696,49.6959,73.83,36,98,2.57
141,Sao Jose Da Coroa Grande,BR,2022-06-05 19:05:06,-8.8978,-35.1478,78.91,79,15,10.71
142,Dhone,IN,2022-06-05 19:05:06,15.4167,77.8833,83.03,59,100,13.73
143,Ryotsu,JP,2022-06-05 19:05:06,38.0833,138.4333,61.03,83,100,6.26
144,Haines Junction,CA,2022-06-05 19:05:07,60.7522,-137.5108,56.34,73,100,3.18
145,Khatanga,RU,2022-06-05 19:05:08,71.9667,102.5,26.02,88,98,4.81
146,Pinsk,BY,2022-06-05 19:02:27,52.1229,26.0951,57.02,82,6,6.35
147,Svetlogorsk,BY,2022-06-05 19:05:08,52.6333,29.7333,57.0,80,27,5.44
148,Olafsvik,IS,2022-06-05 19:05:08,64.8945,-23.7142,40.77,62,100,13.13
